ParkUnit,Plot,EventID,EventDateTime,Temperature_C,WindSpeed,WindDesc,Rain,PercentCloud,Noise,NoiseSummary,Interval,ObservationNumber,AOUCode,TSN,ScientificName,Family,CommonName,Distance,DetectionType,Sex,Age,FlockSize,IsPreviousPlot,IsFlyover
Herbert Hoover,HEHO5,HEHO2005Jun040847AM,2005-06-04 08:47:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,4,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,67,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO5,HEHO2005Jun040847AM,2005-06-04 08:47:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,2,DICK,179165,Spiza americana,Cardinalidae,dickcissel,44,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO5,HEHO2005Jun040847AM,2005-06-04 08:47:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",>3-5 min,8,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,-9999,Seen First,Unk,Adult,3,0,1
Herbert Hoover,HEHO5,HEHO2005Jun040847AM,2005-06-04 08:47:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",>3-5 min,9,BHCO,179112,Molothrus ater,Icteridae,brown-headed cowbird,-9999,Seen First,Male,Adult,1,0,1
Herbert Hoover,HEHO5,HEHO2005Jun040847AM,2005-06-04 08:47:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,1,EAME,179034,Sturnella magna,Icteridae,eastern meadowlark,26,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO6,HEHO2005Jun040858AM,2005-06-04 08:58:00.000,23,(2-5 km/h),smoke drifts,light drizzle,100,medium noise,"  detection radius is probably substantially reduced",0-3 min,1,DICK,179165,Spiza americana,Cardinalidae,dickcissel,67,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO6,HEHO2005Jun040858AM,2005-06-04 08:58:00.000,23,(2-5 km/h),smoke drifts,light drizzle,100,medium noise,"  detection radius is probably substantially reduced",0-3 min,4,DICK,179165,Spiza americana,Cardinalidae,dickcissel,-9999,Seen First,Unk,Adult,1,0,1
Herbert Hoover,HEHO6,HEHO2005Jun040858AM,2005-06-04 08:58:00.000,23,(2-5 km/h),smoke drifts,light drizzle,100,medium noise,"  detection radius is probably substantially reduced",0-3 min,3,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,-9999,Seen First,Male,Adult,1,0,1
Herbert Hoover,HEHO6,HEHO2005Jun040858AM,2005-06-04 08:58:00.000,23,(2-5 km/h),smoke drifts,light drizzle,100,medium noise,"  detection radius is probably substantially reduced",0-3 min,2,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,104,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO6,HEHO2005Jun040858AM,2005-06-04 08:58:00.000,23,(2-5 km/h),smoke drifts,light drizzle,100,medium noise,"  detection radius is probably substantially reduced",>5 min,5,RNEP,175905,Phasianus colchicus,Phasianidae,ring-necked pheasant,-9999,Seen +5 min,Male,Adult,1,0,1
Herbert Hoover,HEHO3,HEHO2005Jun040904AM,2005-06-04 09:04:00.000,22,(2-5 km/h),smoke drifts,no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,1,DICK,179165,Spiza americana,Cardinalidae,dickcissel,17,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO3,HEHO2005Jun040904AM,2005-06-04 09:04:00.000,22,(2-5 km/h),smoke drifts,no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,3,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,69,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO3,HEHO2005Jun040904AM,2005-06-04 09:04:00.000,22,(2-5 km/h),smoke drifts,no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,4,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,71,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO3,HEHO2005Jun040904AM,2005-06-04 09:04:00.000,22,(2-5 km/h),smoke drifts,no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,5,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,67,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO3,HEHO2005Jun040904AM,2005-06-04 09:04:00.000,22,(2-5 km/h),smoke drifts,no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,7,COYE,178944,Geothlypis trichas,Parulidae,common yellowthroat,120,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO3,HEHO2005Jun040904AM,2005-06-04 09:04:00.000,22,(2-5 km/h),smoke drifts,no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,2,EAKI,178279,Tyrannus tyrannus,Tyrannidae,eastern kingbird,22,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO3,HEHO2005Jun040904AM,2005-06-04 09:04:00.000,22,(2-5 km/h),smoke drifts,no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,6,AMRO,179759,Turdus migratorius,Turdidae,american robin,120,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO2,HEHO2005Jun040919AM,2005-06-04 09:19:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,7,AMRO,179759,Turdus migratorius,Turdidae,american robin,-9999,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO2,HEHO2005Jun040919AM,2005-06-04 09:19:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,6,COYE,178944,Geothlypis trichas,Parulidae,common yellowthroat,148,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO2,HEHO2005Jun040919AM,2005-06-04 09:19:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",>3-5 min,8,RNEP,175905,Phasianus colchicus,Phasianidae,ring-necked pheasant,66,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO2,HEHO2005Jun040919AM,2005-06-04 09:19:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,2,AMGO,179249,Spinus tristis,Fringillidae,american goldfinch,190,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO2,HEHO2005Jun040919AM,2005-06-04 09:19:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,1,DICK,179165,Spiza americana,Cardinalidae,dickcissel,76,Heard Then Seen,Male,Adult,1,0,0
Herbert Hoover,HEHO2,HEHO2005Jun040919AM,2005-06-04 09:19:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,4,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,112,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO2,HEHO2005Jun040919AM,2005-06-04 09:19:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,5,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,114,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO2,HEHO2005Jun040919AM,2005-06-04 09:19:00.000,23,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,3,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,66,Heard Then Seen,Male,Adult,1,0,0
Herbert Hoover,HEHO1,HEHO2005Jun040931AM,2005-06-04 09:31:00.000,24,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,quiet," normal background noises; no interference",0-3 min,2,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,89,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO1,HEHO2005Jun040931AM,2005-06-04 09:31:00.000,24,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,quiet," normal background noises; no interference",0-3 min,5,COYE,178944,Geothlypis trichas,Parulidae,common yellowthroat,123,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO1,HEHO2005Jun040931AM,2005-06-04 09:31:00.000,24,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,quiet," normal background noises; no interference",0-3 min,1,AMRO,179759,Turdus migratorius,Turdidae,american robin,136,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO1,HEHO2005Jun040931AM,2005-06-04 09:31:00.000,24,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,quiet," normal background noises; no interference",0-3 min,6,AMGO,179249,Spinus tristis,Fringillidae,american goldfinch,-9999,Heard First,Male,Adult,1,0,1
Herbert Hoover,HEHO1,HEHO2005Jun040931AM,2005-06-04 09:31:00.000,24,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,quiet," normal background noises; no interference",0-3 min,4,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,117,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO1,HEHO2005Jun040931AM,2005-06-04 09:31:00.000,24,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,quiet," normal background noises; no interference",0-3 min,3,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,112,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO4,HEHO2005Jun040945AM,2005-06-04 09:45:00.000,22,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,3,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,29,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO4,HEHO2005Jun040945AM,2005-06-04 09:45:00.000,22,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,2,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,61,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO4,HEHO2005Jun040945AM,2005-06-04 09:45:00.000,22,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,5,AMRO,179759,Turdus migratorius,Turdidae,american robin,82,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO4,HEHO2005Jun040945AM,2005-06-04 09:45:00.000,22,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",>3-5 min,6,COGR,179104,Quiscalus quiscula,Icteridae,common grackle,82,Seen First,Unk,Adult,3,0,0
Herbert Hoover,HEHO4,HEHO2005Jun040945AM,2005-06-04 09:45:00.000,22,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,1,COYE,178944,Geothlypis trichas,Parulidae,common yellowthroat,24,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO4,HEHO2005Jun040945AM,2005-06-04 09:45:00.000,22,(6-12 km/h),"light breeze felt on face, leaves rustle",no rain,100,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,4,COGR,179104,Quiscalus quiscula,Icteridae,common grackle,86,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO4,HEHO2006Jun040558AM,2006-06-04 05:58:00.000,13,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,4,AMRO,179759,Turdus migratorius,Turdidae,american robin,128,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO4,HEHO2006Jun040558AM,2006-06-04 05:58:00.000,13,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,5,AMRO,179759,Turdus migratorius,Turdidae,american robin,-9999,Seen First,Male,Adult,1,0,1
Herbert Hoover,HEHO4,HEHO2006Jun040558AM,2006-06-04 05:58:00.000,13,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,3,COYE,178944,Geothlypis trichas,Parulidae,common yellowthroat,103,Heard Then Seen,Male,Adult,1,0,0
Herbert Hoover,HEHO4,HEHO2006Jun040558AM,2006-06-04 05:58:00.000,13,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,2,COYE,178944,Geothlypis trichas,Parulidae,common yellowthroat,125,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO4,HEHO2006Jun040558AM,2006-06-04 05:58:00.000,13,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",>3-5 min,7,EAWP,178359,Contopus virens,Tyrannidae,eastern wood-pewee,143,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO4,HEHO2006Jun040558AM,2006-06-04 05:58:00.000,13,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",>3-5 min,8,RNEP,175905,Phasianus colchicus,Phasianidae,ring-necked pheasant,135,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO4,HEHO2006Jun040558AM,2006-06-04 05:58:00.000,13,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,1,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,49,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO4,HEHO2006Jun040558AM,2006-06-04 05:58:00.000,13,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",>3-5 min,6,BHCO,179112,Molothrus ater,Icteridae,brown-headed cowbird,-9999,Seen First,Male,Adult,1,0,1
Herbert Hoover,HEHO7,HEHO2006Jun040615AM,2006-06-04 06:15:00.000,20,(< 2 km/h),"calm, smoke rises vertically",no rain,10,low noise,"  might be missing some high-pitched songs/calls of distant birds",>3-5 min,7,NOMO,178620,Mimus polyglottos,Mimidae,northern mockingbird,69,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO7,HEHO2006Jun040615AM,2006-06-04 06:15:00.000,20,(< 2 km/h),"calm, smoke rises vertically",no rain,10,low noise,"  might be missing some high-pitched songs/calls of distant birds",>3-5 min,6,MODO,177125,Zenaida macroura,Columbidae,mourning dove,-9999,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO7,HEHO2006Jun040615AM,2006-06-04 06:15:00.000,20,(< 2 km/h),"calm, smoke rises vertically",no rain,10,low noise,"  might be missing some high-pitched songs/calls of distant birds",>3-5 min,5,COYE,178944,Geothlypis trichas,Parulidae,common yellowthroat,63,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO7,HEHO2006Jun040615AM,2006-06-04 06:15:00.000,20,(< 2 km/h),"calm, smoke rises vertically",no rain,10,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,4,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,30,Seen First,Female,Adult,1,0,0
Herbert Hoover,HEHO7,HEHO2006Jun040615AM,2006-06-04 06:15:00.000,20,(< 2 km/h),"calm, smoke rises vertically",no rain,10,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,1,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,13,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO7,HEHO2006Jun040615AM,2006-06-04 06:15:00.000,20,(< 2 km/h),"calm, smoke rises vertically",no rain,10,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,2,NOCA,179124,Cardinalis cardinalis,Cardinalidae,northern cardinal,27,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO7,HEHO2006Jun040615AM,2006-06-04 06:15:00.000,20,(< 2 km/h),"calm, smoke rises vertically",no rain,10,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,3,COGR,179104,Quiscalus quiscula,Icteridae,common grackle,26,Seen First,Male,Adult,3,0,0
Herbert Hoover,HEHO8,HEHO2006Jun040631AM,2006-06-04 06:31:00.000,15,(< 2 km/h),"calm, smoke rises vertically",no rain,10,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,3,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,93,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO8,HEHO2006Jun040631AM,2006-06-04 06:31:00.000,15,(< 2 km/h),"calm, smoke rises vertically",no rain,10,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,1,EAME,179034,Sturnella magna,Icteridae,eastern meadowlark,120,Heard Then Seen,Male,Adult,1,0,0
Herbert Hoover,HEHO8,HEHO2006Jun040631AM,2006-06-04 06:31:00.000,15,(< 2 km/h),"calm, smoke rises vertically",no rain,10,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,2,COYE,178944,Geothlypis trichas,Parulidae,common yellowthroat,71,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO8,HEHO2006Jun040631AM,2006-06-04 06:31:00.000,15,(< 2 km/h),"calm, smoke rises vertically",no rain,10,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,4,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,88,Heard First,Male,Adult,1,0,0
Herbert Hoover,HEHO8,HEHO2006Jun040631AM,2006-06-04 06:31:00.000,15,(< 2 km/h),"calm, smoke rises vertically",no rain,10,low noise,"  might be missing some high-pitched songs/calls of distant birds",>3-5 min,5,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,-9999,Seen First,Unk,Adult,2,0,1
Herbert Hoover,HEHO9,HEHO2006Jun040641AM,2006-06-04 06:41:00.000,18,(< 2 km/h),"calm, smoke rises vertically",no rain,10,medium noise,"  detection radius is probably substantially reduced",0-3 min,3,EAME,179034,Sturnella magna,Icteridae,eastern meadowlark,71,Heard First,Male,Adult,1,1,0
Herbert Hoover,HEHO9,HEHO2006Jun040641AM,2006-06-04 06:41:00.000,18,(< 2 km/h),"calm, smoke rises vertically",no rain,10,medium noise,"  detection radius is probably substantially reduced",0-3 min,2,COYE,178944,Geothlypis trichas,Parulidae,common yellowthroat,107,Heard First,Male,Adult,1,1,0
Herbert Hoover,HEHO9,HEHO2006Jun040641AM,2006-06-04 06:41:00.000,18,(< 2 km/h),"calm, smoke rises vertically",no rain,10,medium noise,"  detection radius is probably substantially reduced",0-3 min,1,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,108,Seen First,Female,Adult,1,0,0
Herbert Hoover,HEHO5,HEHO2006Jun040650AM,2006-06-04 06:50:00.000,17,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,9,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,97,Seen First,Female,Adult,1,0,0
Herbert Hoover,HEHO5,HEHO2006Jun040650AM,2006-06-04 06:50:00.000,17,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,3,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,227,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO5,HEHO2006Jun040650AM,2006-06-04 06:50:00.000,17,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,8,RWBL,179045,Agelaius phoeniceus,Icteridae,red-winged blackbird,97,Seen First,Male,Adult,1,0,0
Herbert Hoover,HEHO5,HEHO2006Jun040650AM,2006-06-04 06:50:00.000,17,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,5,COYE,178944,Geothlypis trichas,Parulidae,common yellowthroat,108,Heard Then Seen,Male,Adult,1,0,0
Herbert Hoover,HEHO5,HEHO2006Jun040650AM,2006-06-04 06:50:00.000,17,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",>3-5 min,12,AMGO,179249,Spinus tristis,Fringillidae,american goldfinch,37,Heard Then Seen,Male,Adult,1,0,0
Herbert Hoover,HEHO5,HEHO2006Jun040650AM,2006-06-04 06:50:00.000,17,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,10,GRSP,179333,Ammodramus savannarum,Emberizidae,grasshopper sparrow,31,Heard Then Seen,Male,Adult,1,0,0
Herbert Hoover,HEHO5,HEHO2006Jun040650AM,2006-06-04 06:50:00.000,17,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,4,AMGO,179249,Spinus tristis,Fringillidae,american goldfinch,-9999,Seen First,Male,Adult,1,0,1
Herbert Hoover,HEHO5,HEHO2006Jun040650AM,2006-06-04 06:50:00.000,17,(< 2 km/h),"calm, smoke rises vertically",no rain,20,low noise,"  might be missing some high-pitched songs/calls of distant birds",0-3 min,6,COYE,178944,Geothlypis trichas,Parulidae,common yellowthroat,233,Heard First,Male,Adult,1,0,0
